ISSN,E-ISSN,Başlık
,"2717-9788","Archives of current medical research (ACMR) (Online)"
,"2792-0550","Archives of epilepsy (Online)"
,"2687-4644","Archives of health science and research (Online)"
,"2618-6500","Archives of Rheumatology"
"1300-6355",,"Archivum Anatolicum / Anadolu Arşivleri"
"1434-5641",,"ARI The Bulletin of the Istanbul Technical University"
,"2687-4016","Arış (Online)"
,"2822-2164","Arkeoloji Bilimleri Dergisi (Online)"
"1300-5685",,"Arkeoloji Dergisi"
"1300-4514",,"Arkeoloji ve Sanat"
"1300-3755","2602-3024","Arşiv Kaynak Tarama Dergisi"
,"2822-2865","Art and interpretation (Online)"
,"2822-3144","Art vision (Online)"
,"1308-2698","Art-e Sanat Dergisi"
,"2148-3582","Art-Sanat Dergisi"
"1303-9695",,"ARTEMİS"
,"2147-6683","Artium"
"1300-0594",,"Artroplasti Artroskopik Cerrahi (Yeni Adı: Eklem Hastalıkları ve Cerrahisi)"
,"2687-1890","ARTS: Artuklu sanat ve beşeri bilimler dergisi (Online)"
"2148-3264","2687-427X","Artuklu Akademi"
"2146-1880","2146-698X","Artvin Çoruh Üniversitesi Orman Fakültesi Dergisi"
"1303-9342",,"Askeri Tarih Araştırmaları Dergisi"
"1308-9234",,"Astım Allerji İmmünoloji"
,"2618-608X","ATA Planlama ve Tasarım"
"1011-727X",,"Atatürk Araştırma Merkezi Dergisi"
,"3062-0929","Atatürk Dergisi"
"1302-2040","2687-6329","Atatürk Üniversitesi Beden Eğitimi ve Spor Bilimleri Dergisi"
"1300-9044",,"Atatürk Üniversitesi Diş Hekimliği Fakültesi Dergisi"
"2602-2788","2602-2788","Atatürk Üniversitesi Edebiyat Fakültesi Dergisi"
"1302-9312",,"Atatürk Üniversitesi Erzincan Eğitim Fakültesi Dergisi"
"1300-9206","2687-4288","Atatürk Üniversitesi Güzel Sanatlar Enstitüsü Dergisi"
"1301-9899",,"Atatürk Üniversitesi Hemşirelik Yüksekokulu Dergisi"
"1300-4646","2147-7582","Atatürk Üniversitesi İktisadi ve İdari Bilimler Dergisi"
"1303-295X",,"Atatürk Üniversitesi İlahiyat Fakültesi Dergisi"
,"2687-2196","Atatürk Üniversitesi Kazım Karabekir Eğitim Fakültesi Dergisi"
"1304-4990",,"Atatürk Üniversitesi Sosyal Bilimler Enstitüsü Dergisi"
"1300-7254",,"Atatürk Üniversitesi Tıp Dergisi (Y. A. The Eurasian Journal of Medicine)"
"1300-9052",,"Atatürk Üniversitesi Türkiyat Araştırmaları Enstitüsü Dergisi"
"1306-6137",,"Atatürk Üniversitesi Veteriner Bilimleri Dergisi"
"1300-9036","2651-5016","Atatürk Üniversitesi Ziraat Fakültesi Dergisi"
,"2667-7768","ATATÜRK YOLU DERGİSİ"
,"1309-1042","Atmospheric Pollution Research"
"2458-9896","2822-3683","AURUM Sosyal Bilimler Dergisi"
"1302-5678",,"Avrasya Dosyası"
"1300-1604",,"Avrasya Etüdleri"
,"2147-7507","Avrasya Terim Dergisi"
,"2147-2610","Avrasya Uluslararası Araştırmalar Dergisi"
"2528-9411",,"AYDIN GASTRONOMY"
"2458-7818","2687-2617","Aydın tömer dil dergisi"
"2148-4376","2148-4376","AYNA Klinik Psikoloji Dergisi"
,"2148-4015","Bağbahçe Bilim Dergisi"
,"2547-9431","Bağcılar Tıp Bülteni"
"1302-5570","2791-9846","Bağımlılık Dergisi"
"1300-8943","2791-6375","Bahçe"
"1304-7949",,"Bahçeşehir Üniversitesi Hukuk Fakültesi Dergisi"
"1304-7973",,"Bahçeşehir Üniversitesi Hukuk Fakültesi Kazancı Hakemli Hukuk Dergisi"
,"2687-3753","Bahri Dağdaş Bitkisel Araştırma Dergisi (Online)"
"1305-9319","1305-9327","Bakırköy Tıp Dergisi"
"2146-9601","2147-2238","Balıkesir Sağlık Bilimleri Dergisi   (BSBD)"
"1301-7985","2536-5142","Balıkesir Üniversitesi Fen Bilimleri Enstitüsü Dergisi"
"1301-5265","2651-4974","Balıkesir Üniversitesi Sosyal Bilimler Enstitüsü Dergisi"
"1302-1672",,"Balkan Geophysical Society. Journal"
,"2147-284X","Balkan Journal of Electrical and Computer Engineering"
"2146-3123","2146-3131","Balkan Medical Journal"
,"3023-7521","Balkan ORL-HNS"
,"2687-2234","Balkanistik Dil ve Edebiyat Dergisi"
,"2667-6699","Balkanlarda Türk Dili ve Edebiyatı Araştırmaları"
,"2687-2145","Bandırma Onyedi Eylül Üniversitesi Sağlık Bilimleri ve Araştırmaları dergisi (Online)"
"2147-1053","2149-4169","Banka ve Finans Hukuku Dergisi"
"1300-1396",,"Banka ve Ticaret Hukuku Dergisi"
"1300-0217","1307-8631","Bankacılar"
,"1308-5875","Bartın Orman Fakültesi Dergisi"
,"1308-7177","Bartın Üniversitesi Eğitim Fakültesi Dergisi"
"2148-3485","2148-3272","Başkent University Journal of Education"
"2148-6638",,"Başkent Üniversitesi Hukuk Fakültesi Dergisi"
"1300-8579",,"Batı Akdeniz Ormancılık Araştırma Enstitüsü Dergisi"
"1302-3624",,"Batı Akdeniz Ormancılık Araştırma Müdürlüğü Teknik Bülten"
,"1308-8971","Batı Anadolu Eğitim Bilimleri Dergisi(BAEBD)"
"2822-4302","2587-0602","Batı Karadeniz Tıp Dergisi"
,"2687-3281","BAYBURT EĞİTİM FAKÜLTESİ DERGİSİ"
,"1307-945X","BDDK Bankacılık ve Finansal Piyasalar Dergisi"
"2757-5438","2717-9893","Bee studies"
"0041-4247","2791-9714","Belgeler"
"2146-4456",,"BELGİ DERGİSİ"
"0041-4255","2791-6472","Belleten"
"1300-3089","3062-3111","Beslenme ve Diyet Dergisi"
"1300-3488",,"Beton Prefabrikasyon"
,"2651-5393","Beykoz Akademi Dergisi"
"2459-1777","2587-0394","BEYOGLU EYE JOURNAL"
,"1303-8303","Beytulhikme An International Journal of Philosophy"
"1305-9378",,"Bezm-i Alem Valide Sultan SSK Vakıf Gureba Eğitim Hastanesi Derg."
,"2148-2373","Bezmiâlem Science"
,"2458-7575","Bilecik Şeyh Edebali Üniversitesi Fen Bilimleri Dergisi"
,"2980-1788","Bilecik Şeyh Edebali Üniversitesi Sağlık Bilimleri Fakültesi Dergisi"
"1309-212X","1309-212X","Bilge Strateji"
,"2148-354X","Bilgi Dünyası"
,"2636-8544","Bilgi Yönetimi"
,"3023-7459","Bilgisayar bilimleri ve mühendisliği dergisi"
"1300-6487",,"Bilgisayarlı Tomografi Bülteni"
"1301-0549","2822-6348","Bilig / Türk Dünyası Sosyal Bilimler Dergisi"
,"2148-5860","Bilimname"
"2564-7024",,"Bilimsel Madencilik Dergisi"
,"2667-6109","Bilişim hukuku dergisi"
,"2147-0715","Bilişim Teknolojileri Dergisi"
"2146-9490","2636-8765","Bilişsel Davranışçı Psikoterapi ve Araştırmalar Dergisi"
"2651-3234","2651-3307","Bingöl Üniversitesi İktisadi ve İdari Bilimler Fakültesi Dergisi (Online)"
"2147-0774","2687-5128","Bingöl Üniversitesi İlahiyat Fakültesi Dergisi"
"1309-6672","2618-6322","Bingöl Üniversitesi Sosyal Bilimler Enstitüsü Dergisi"
"1308-5301","1308-8084","Biological Diversity and Conservation"
"2687-3761","2757-5233","Biotech Studies"
"0406-3597","1308-8122","Bitki Koruma Bülteni"
,"2147-3188","Bitlis Eren Üniversitesi Fen Bilimleri Dergisi"
,"2618-6578","Black Sea Journal of Agriculture"
,"2619-8991","Black Sea Journal of Engineering and Science"
,"2822-2563","Bodrum Journal of Art and Design"
,"2717-896X","Bogazici Journal: Review of Social, Economic and Administrative Studies"
"2822-5600","2822-5597","Boğaziçi Üniversitesi Eğitim Dergisi"
"2149-9020","2667-8438","BOR DERGİSİ"
"2146-7447",,"Bornova Veteriner Bilimleri Dergisi"
"1300-8307",,"Bornova Veteriner Kontrol ve Araştırma Enstitüsü Dergisi (. Bornova Veteriner Bilimleri Dergisi)"
"2146-4006","2148-2438","Bozok Tıp Dergisi"
,"2458-9934","Bozok Üniversitesi İlahiyat Fakültesi Dergisi"
"2980-0544","2980-0595","Bölgesel kalkınma dergisi"
,"2602-2850","Buca Eğitim Fakültesi Dergisi"
,"2980-1869","Bulletin of biomathematics"
,"2548-0707","Bulletin of economic theory and analysis (Online)"
"0026-4563","2651-3048","Bulletin of the mineral research and exploration"
"1016-7277",,"Bursa Devlet Hastanesi Bülteni"
,"2757-9190","Bursa Uludağ Üniversitesi İktisadi ve İdari Bilimler Fakültesi Dergisi"
,"2651-4044","Bursa Uludağ Üniversitesi Ziraat Fakültesi Dergisi (Online)"
,"2619-9491","Business and Economics Research Journal"
,"2148-2586","Business and Management Studies: An International Journal"
"2148-3728","2148-9750","BÜLENT ECEVİT ÜNİVERSİTESİ İLAHİYAT FAKÜLTESİ DERGİSİ"
,"2148-9211","Cardiovascular surgery and interventions"
,"2147-2181","Causapedia"
,"2149-1046","CBÜ Beden Eğitimi ve Spor Bilimleri Dergisi"
"2147-8058","2148-1431","Cedrus: Akdeniz Uygarlıkları Araştırma Dergisi"
"1305-130X","1305-1385","Celal Bayar Üniversitesi Fen Bilimleri Dergisi"
,"2147-9607","Celal Bayar Üniversitesi Sağlık Bilimleri Enstitüsü Dergisi"
"1304-4796","2146-2844","Celal Bayar Üniversitesi Sosyal Bilimler Dergisi"
"1303-0701","1305-8800","Central Bank Review"
"1301-0182",,"Cerrahi Tıp Arşivi"
,"2687-1904","Cerrahpaşa Medical Journal"
"1300-5227",,"Cerrahpaşa Tıp Dergisi"
"1307-0851",,"Ceza Hukuku Dergisi"
,"2602-3911","Ceza Hukuku ve Kriminoloji Dergisi"
,"2548-0928","Challenge Journal of Concrete Research Letters"
,"2149-8024","Challenge Journal of Structural Mechanics"
,"2687-4539","Chaos Theory and Applications"
"0379-5896",,"Chimica Acta Turcica"
"2149-0678","2148-8843","Cihannüma: Tarih ve Coğrafya Araştırmaları Dergisi"
"1309-0526",,"Cito Eğitim: Kuram ve Uygulama"
"1304-9119",,"Civilacademy Sosyal Bilimler Dergisi"
,"2459-1459","Clinical and Experimental Health Sciences"
"2146-3964","2146-3972","Clinical Dentistry and Research"
"2667-6222","2667-6230","Clinical Science of Nutrition"
"1303-5851","1308-9765","Coğrafi Bilimler Dergisi"
,"1305-2128","Coğrafya dergisi (e-dergi)"
"1303-8486",,"Colloquium Anatolicum"
,"2602-456X","Commagene Journal of Biology"
"1303-5991","2618-6470","Communications Faculty of Sciences University of Ankara Series A1: Mathematics and Statistics"
,"2618-6462","Communications Faculty of Sciences University of Ankara Series A2-A3: Physical Sciences and Engineering"
"1302-6009",,"Communications Series A2-A3: Physics, Engineering Physics, Electronic Engineering and Astronomy"
"1303-6017",,"Communications Series:B Chemistry and Chemical Engineering"
"0378-6269",,"Communications/ Faculty of Sciences University of Ankara Series A2-A3: Physics, Engineering Physics and Astronomy"
"1303-6025",,"Communications/ Faculty of Sciences University of Ankara Series C: Biology and Geological Engineering and Geophysical Engineering"
,"2822-6771","Comprehensive medicine"
,"2636-8943","Connectist: İstanbul University Journal of Communication Sciences (Online)"
,"2651-2939","Constructive mathematical analysis (Online)"
"2147-3730",,"Contemporary Analysis and Applied Mathematics"
,"1309-517X","Contemporary Educational Technology"
"2602-3032","2602-3040","Cukurova Medical Journal"
"1302-5805","2146-2852","Cumhuriyet Dental Journal"
"2528-9861","2528-987X","Cumhuriyet İlahiyat Dergisi"
"2587-2680","2587-246X","Cumhuriyet Science Journal"
"1305-1458","2147-1592","Cumhuriyet Tarihi Araştırmaları Dergisi"
,"1305-0028","Cumhuriyet Tıp Dergisi (ELEKTRONİK)"
,"2147-1606","Cumhuriyet Uluslararası Eğitim Dergisi"
"1300-1957",,"Cumhuriyet Üniv. Tıp Fak. Derg."
,"1305-5143","Cumhuriyet Üniversitesi Edebiyat Fakültesi Sosyal Bilimler Dergisi"
"1300-1949","1300-1949","Cumhuriyet Üniversitesi Fen-Edebiyat Fakültesi Fen Bilimleri Dergisi"
"1303-1279",,"Cumhuriyet Üniversitesi İktisadi ve İdari Bilimler Dergisi"
"1301-1197","1304-9399","Cumhuriyet Üniversitesi İlahiyat Fakültesi Dergisi"
"1300-1965",,"Cumhuriyet Üniversitesi Mühendislik Fakültesi Madencilik Bilim ve Teknolojisi Dergisi"
"1016-7625",,"Cumhuriyet Yerbilimleri Dergisi"
,"2822-3160","Current perspectives in social sciences (Online)"
,"2822-2555","Current research in dental sciences (Online)"
,"2149-1488","Current Research in Social Sciences"
,"2548-0316","Current Thoracic Surgery"
"2149-7893","2536-507X","Cyprus Journal of Medical Sciences"
"1016-5118",,"Çağdaş Cerrahi Dergisi"
"1300-249X",,"Çağdaş Eğitim Dergisi"
,"2980-129X","Çağdaş Türkiye Tarihi Araştırmaları Dergisi"
"1300-1825",,"Çağdaş Yerel Yönetimler"
"1305-2837",,"Çalışma ve Toplum"
"2148-0877","2717-6517","Çanakkale Araştırmaları Türk Yıllığı"
,"2651-5326","Çanakkale Onsekiz Mart University Journal of Marine Sciences and Fisheries"
,"2459-1580","Çanakkale Onsekiz Mart Üniversitesi Fen Bilimleri Enstitüsü Dergisi"
,"3062-0112","Çankaya University Journal of Humanities and Social Sciences"
"2458-8202",,"Çankaya Üniversitesi Hukuk Fakültesi Dergisi"
"1308-5549","2147-4206","Çankırı Karatekin Üniversitesi İktisadi ve İdari Bilimler Fakültesi Dergisi"
"1309-3738","2791-9374","Çankırı Karatekin Üniversitesi Sosyal Bilimler Enstitüsü Dergisi"
,"2687-2846","Çeviribilim ve Uygulamaları"
"1300-8315",,"Çevre Bilimleri"
"1302-5627",,"Çevre, Bilim ve Teknoloji"
"1301-0859",,"Çimento ve Beton Dünyası"
"2146-2399","2717-9206","Çocuk Acil ve Yoğun Bakım Dergisi"
,"2667-7024","Çocuk Cerrahisi Dergisi"
"1302-9940",,"Çocuk Dergisi"
"1307-1068","1308-5271","Çocuk Enfeksiyon Dergisi"
"1302-5945",,"Çocuk Gelişimi ve Eğitimi Derg."
"0010-0161",,"Çocuk Sağlığı ve Hastalıkları Dergisi"
"1301-3904",,"Çocuk ve Gençlik Ruh Sağlığı Dergisi"
"2147-8384","2564-6826","ÇOMÜ Ziraat Fakültesi Dergisi"
,"2667-498X","Çukurova Anestezi ve Cerrahi Bilimler Dergisi"
"2636-7874","2630-6034","Çukurova Tarım ve Gıda bilimleri dergisi (Online)"
"1302-9967",,"Çukurova Üniversitesi Eğitim Fakültesi Dergisi"
,"2822-4809","Çukurova Üniversitesi Hukuk Araştırmaları Dergisi"
,"2564-6427","Çukurova Üniversitesi İlahiyat Fakültesi Dergisi"
"2757-9255",,"Çukurova Üniversitesi Mühendislik Fakültesi dergisi"
"1019-1011",,"Çukurova Üniversitesi Mühendislik-Mimarlik Fakültesi Dergisi"
"1304-8880","1304-8899","Çukurova Üniversitesi Sosyal Bilimler Enstitüsü Dergisi"
"0250-5150",,"Çukurova Üniversitesi Tıp Fakültesi Dergisi"
"2587-1900","2548-0979","Çukurova Üniversitesi Türkoloji Araştırmaları Dergisi"
"1300-4700",,"Çukurova Üniversitesi Ziraat Fakültesi Dergisi"
,"1309-6222","Dahili ve Cerrahi Bilimler Yoğun Bakım Dergisi"
"1301-1839","2149-1259","Damar Cerrahi Dergisi"
,"2651-5083","darulfunun ilahiyat"
"1303-880X",,"Değerler Eğitimi Dergisi"
"2602-4055","2651-2556","Dehukam Deniz Hukuku Dergisi"
,"2687-2463","Demiryolu Mühendisliği"
"1308-8335",,"Denetişim"
,,"Deprem Araştırma Bülteni"
,"2148-0494","Dergiabant"
"1307-427X",,"DERİ BİLİM"
"1300-3496",,"Derim"
,"3062-2948","Developments and experiments in health and medicine"
,"1305-3612","Diagnostic and Interventional Radiology"
,"1308-9889","Dicle Tıp Dergisi"
"1300-2929","2458-7907","Dicle Üniversitesi Hukuk Fakültesi Dergisi"
,"2587-0106","Dicle Üniversitesi İktisadi ve İdari Bilimler Fakültesi Dergisi"
"1309-8640","2146-4391","Dicle Üniversitesi Mühendislik Fakültesi Mühendislik Dergisi"
,"1308-6219","Dicle Üniversitesi Sosyal Bilimler Enstitüsü Dergisi"
,"1308-0679","Dicle Üniversitesi Veteriner Fakültesi Dergisi"
"1307-7821",,"Dil Araştırmaları"
"1300-3542","2980-0072","Dil Dergisi"
,"2149-5602","Dil Eğitimi ve Araştırmaları Dergisi"
"1308-5069","2149-0651","Dil ve Edebiyat Araştırmaları"
,"2459-0150","Dil ve Tarih-Coğrafya Fakültesi Dergisi"
,"2651-2548","Dil, Konuşma ve Yutma Araştırmaları Dergisi (Online)"
"1300-8552","2587-0939","Dilbilim Araştırmaları Dergisi"
"1303-8367",,"Dilbilim ve Uygulamaları"
,"1303-9199","Dinbilimleri Akademik Araştırma Dergisi"
"1301-966X","2602-2435","DİNİ ARAŞTIRMALAR"
,"2792-0836","Divan Edebiyatı Araştırmaları Dergisi"
"1309-6834",,"Dîvân: Disiplinlerarası Çalışmalar Dergisi"
"1300-2023",,"Diyaliz Transplantasyon ve Yanık Derg."
,"2148-1482","DİYALOG. Interkulturelle Zeitschrift für Germanistik"
"1300-8498","2822-2261","Diyanet İlmi Dergi"
,"2528-9640","Doğal Afetler ve Çevre Dergisi"
"1300-9494",,"Doğu Anadolu Ormancılık Araştırma Müdürlüğü Dergisi"
"1300-9478",,"Doğu Anadolu Ormancılık Araştırma Müdürlüğü Teknik Bülten"
,"2717-834X","Doğu Coğrafya Dergisi"
,"1308-6979","Doğuş Üniversitesi Dergisi"
,"2458-9942","Dokuz Eylül Üniversitesi Denizcilik Fakültesi Dergisi"
"2147-4958","2147-4419","Dokuz Eylül Üniversitesi Edebiyat Fakültesi Dergisi"
,"2149-0333","Dokuz Eylül Üniversitesi Hemşirelik Fakültesi Elektronik Dergisi"
,"1308-3031","Dokuz Eylül Üniversitesi Hemşirelik Yüksekokulu Elektronik Dergisi"
